objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
composite,qei,gaussian,5.0,20,extra_trees,0.02225593490632454,-0.5841054739072713,10,negligible,MEDIUM
composite,qei,gaussian,5.0,40,extra_trees,-0.052089701118572494,-0.9262359997521575,10,negligible,LARGE
composite,qnei,bias,0.05,10,extra_trees,-0.013546579706668463,0.10675086437089201,10,negligible,negligible
composite,qnei,bias,0.05,20,extra_trees,-0.22273073006397137,-0.11508299843978669,10,SMALL,negligible
composite,qnei,bias,0.05,40,extra_trees,-0.09329655240104515,0.00234231626866233,10,negligible,negligible
composite,qnei,bias,0.5,10,extra_trees,-0.03226029769640535,0.01060958601393661,10,negligible,negligible
composite,qnei,bias,0.5,20,extra_trees,-0.05211053011664903,0.022068126962324987,10,negligible,negligible
composite,qnei,bias,0.5,40,extra_trees,0.0309244614429333,0.06815825550224923,10,negligible,negligible
composite,qnei,bias,1.0,10,extra_trees,-0.023772394234611603,0.04157411077278382,10,negligible,negligible
composite,qnei,bias,1.0,20,extra_trees,-0.01101748348381633,-0.12041787993248564,10,negligible,negligible
composite,qnei,bias,1.0,40,extra_trees,-0.05447233172929538,0.06467594612926252,10,negligible,negligible
composite,qnei,bias,5.0,10,extra_trees,-0.2232693564861842,0.09787436440668848,10,SMALL,negligible
composite,qnei,bias,5.0,20,extra_trees,-0.24950180305494904,0.29770290105874536,10,SMALL,SMALL
composite,qnei,bias,5.0,40,extra_trees,-0.026821939767825227,1.7166405638276514,10,negligible,LARGE
composite,qnei,gaussian,0.05,10,extra_trees,-0.20966426006043,-0.21525514240995683,10,SMALL,SMALL
composite,qnei,gaussian,0.05,20,extra_trees,-0.15908953649713045,-0.16552284817152796,10,negligible,negligible
composite,qnei,gaussian,0.05,40,extra_trees,0.012346843750793786,0.013088261832025121,10,negligible,negligible
composite,qnei,gaussian,0.5,10,extra_trees,-0.07156690331531869,-0.19286255310347108,10,negligible,negligible
composite,qnei,gaussian,0.5,20,extra_trees,0.034909221073424784,-0.01053219171079041,10,negligible,negligible
composite,qnei,gaussian,0.5,40,extra_trees,0.016015606497795973,-0.06204282628516643,10,negligible,negligible
composite,qnei,gaussian,1.0,10,extra_trees,-0.08092802688659288,0.009758709309410496,10,negligible,negligible
composite,qnei,gaussian,1.0,20,extra_trees,-0.16269235462804205,-0.1845564913572977,10,negligible,negligible
composite,qnei,gaussian,1.0,40,extra_trees,0.0884131336871154,0.25182731645961953,10,negligible,SMALL
composite,qnei,gaussian,5.0,10,extra_trees,-0.2240422217230593,-0.6339737987753933,10,SMALL,MEDIUM
composite,qnei,gaussian,5.0,20,extra_trees,-0.14003736184182985,-0.7537694119079932,10,negligible,MEDIUM
composite,qnei,gaussian,5.0,40,extra_trees,0.005851936494944182,1.2392950575113086,10,negligible,LARGE
composite,qpi,bias,0.05,10,extra_trees,0.05143391123204212,0.15822728410591863,10,negligible,negligible
composite,qpi,bias,0.05,20,extra_trees,0.0346510855374996,0.14375973495434377,10,negligible,negligible
composite,qpi,bias,0.05,40,extra_trees,-0.08722357420796203,0.020434458800571507,10,negligible,negligible
composite,qpi,bias,0.5,10,extra_trees,-0.1321007499106181,0.048516334181127704,10,negligible,negligible
composite,qpi,bias,0.5,20,extra_trees,-0.18581235478746327,-0.23267318873627682,10,negligible,SMALL
composite,qpi,bias,0.5,40,extra_trees,-0.05997842537306755,0.2277268464503253,10,negligible,SMALL
composite,qpi,bias,1.0,10,extra_trees,-0.30198537349426496,-0.1183458517277823,10,SMALL,negligible
composite,qpi,bias,1.0,20,extra_trees,-0.2978358418781032,-0.40261351516128835,10,SMALL,SMALL
composite,qpi,bias,1.0,40,extra_trees,-0.1804886002946002,-0.05842484125219187,10,negligible,negligible
composite,qpi,bias,5.0,10,extra_trees,-0.42703551090187286,-1.1583815899698193,10,SMALL,LARGE
composite,qpi,bias,5.0,20,extra_trees,-0.35778268831985977,-0.4513484297197897,10,SMALL,SMALL
composite,qpi,bias,5.0,40,extra_trees,-0.2859337096852496,0.4877273190446488,10,SMALL,SMALL
composite,qpi,gaussian,0.05,10,extra_trees,0.002832724919728144,-0.002766419185599073,10,negligible,negligible
composite,qpi,gaussian,0.05,20,extra_trees,0.005716661430198289,0.018653052051860564,10,negligible,negligible
composite,qpi,gaussian,0.05,40,extra_trees,-0.16940072036193576,-0.17127023819678963,10,negligible,negligible
composite,qpi,gaussian,0.5,10,extra_trees,-0.12827311149589088,-0.2312606037635454,10,negligible,SMALL
composite,qpi,gaussian,0.5,20,extra_trees,-0.1508491728982622,-0.048967305225366596,10,negligible,negligible
composite,qpi,gaussian,0.5,40,extra_trees,-0.16965276051505015,-0.22777493810293556,10,negligible,SMALL
composite,qpi,gaussian,1.0,10,extra_trees,-0.21951305687862474,-0.21802750140398067,10,SMALL,SMALL
composite,qpi,gaussian,1.0,20,extra_trees,-0.23957835229828672,0.4209757766982562,10,SMALL,SMALL
composite,qpi,gaussian,1.0,40,extra_trees,-0.2424550762970305,-0.6344102793265268,10,SMALL,MEDIUM
composite,qpi,gaussian,5.0,10,extra_trees,-0.20286543463799755,-0.888085819412887,10,SMALL,LARGE
composite,qpi,gaussian,5.0,20,extra_trees,-0.26044112257190066,0.060536302007470885,10,SMALL,negligible
composite,qpi,gaussian,5.0,40,extra_trees,-0.27373683049286945,0.5211748475544749,10,SMALL,MEDIUM
composite,qucb,bias,0.05,10,extra_trees,0.021670792430248623,0.12897401213108184,10,negligible,negligible
composite,qucb,bias,0.05,20,extra_trees,-0.04150588265048713,0.08381400263651134,10,negligible,negligible
composite,qucb,bias,0.05,40,extra_trees,-0.041600662277648456,0.07691371781300387,10,negligible,negligible
composite,qucb,bias,0.5,10,extra_trees,-0.305009922363023,-0.16110340346541902,10,SMALL,negligible
composite,qucb,bias,0.5,20,extra_trees,-0.163139893934728,0.08773073927849513,10,negligible,negligible
composite,qucb,bias,0.5,40,extra_trees,-0.14969003115697682,-6.722984729000964e-05,10,negligible,negligible
composite,qucb,bias,1.0,10,extra_trees,-0.3952356512172768,-0.11649006530933477,10,SMALL,negligible
composite,qucb,bias,1.0,20,extra_trees,-0.32056282051177765,0.16246845822774195,10,SMALL,negligible
composite,qucb,bias,1.0,40,extra_trees,-0.27049763964319007,0.030191307082487132,10,SMALL,negligible
composite,qucb,bias,5.0,10,extra_trees,-0.5904170787803571,1.6125320205806817,10,MEDIUM,LARGE
composite,qucb,bias,5.0,20,extra_trees,-0.40620439898953203,0.05666635441336389,10,SMALL,negligible
composite,qucb,bias,5.0,40,extra_trees,-0.3464673697093263,-0.20645683139145615,10,SMALL,SMALL
composite,qucb,gaussian,0.05,10,extra_trees,-0.020147947127139496,-0.02522660581104812,10,negligible,negligible
composite,qucb,gaussian,0.05,20,extra_trees,-0.03357759041635886,-0.03640095316985209,10,negligible,negligible
composite,qucb,gaussian,0.05,40,extra_trees,-0.030268602934713982,-0.040902205608913854,10,negligible,negligible
composite,qucb,gaussian,0.5,10,extra_trees,-0.2867934831425979,-0.34897865646704246,10,SMALL,SMALL
composite,qucb,gaussian,0.5,20,extra_trees,-0.3039943167434234,-0.35332573098231307,10,SMALL,SMALL
composite,qucb,gaussian,0.5,40,extra_trees,-0.2509656381503515,-0.5255227455675158,10,SMALL,MEDIUM
composite,qucb,gaussian,1.0,10,extra_trees,-0.5022111468161163,-0.42146537882684226,10,MEDIUM,SMALL
composite,qucb,gaussian,1.0,20,extra_trees,-0.32320738691634776,-0.3134830748048951,10,SMALL,SMALL
composite,qucb,gaussian,1.0,40,extra_trees,-0.21841214146757357,-0.3648026796557118,10,SMALL,SMALL
composite,qucb,gaussian,5.0,10,extra_trees,-0.6484439317157675,-0.4564391897788117,10,MEDIUM,SMALL
composite,qucb,gaussian,5.0,20,extra_trees,-0.5305405544470941,0.38931857321877333,10,MEDIUM,SMALL
composite,qucb,gaussian,5.0,40,extra_trees,-0.4401820061939419,-0.9677977853720613,10,SMALL,LARGE
composite,ucb,bias,0.05,10,extra_trees,-0.04082209071746614,0.08844073426928607,10,negligible,negligible
composite,ucb,bias,0.05,20,extra_trees,-0.13353493443651113,-0.01488145380401977,10,negligible,negligible
composite,ucb,bias,0.05,40,extra_trees,-0.015773351762623462,0.13241577583590683,10,negligible,negligible
composite,ucb,bias,0.5,10,extra_trees,-0.3016148977154221,0.01837327383716874,10,SMALL,negligible
composite,ucb,bias,0.5,20,extra_trees,-0.2556538303901387,-0.09613319380479506,10,SMALL,negligible
composite,ucb,bias,0.5,40,extra_trees,-0.12551747339992425,-0.030625502671357215,10,negligible,negligible
composite,ucb,bias,1.0,10,extra_trees,-0.4357349015288712,-0.47722647889005115,10,SMALL,SMALL
composite,ucb,bias,1.0,20,extra_trees,-0.44572915534510826,-0.2929813673477738,10,SMALL,SMALL
composite,ucb,bias,1.0,40,extra_trees,-0.24417028678695762,-0.7805166347418219,10,SMALL,MEDIUM
composite,ucb,bias,5.0,10,extra_trees,-0.5860579245347666,-0.17997597992173786,10,MEDIUM,negligible
composite,ucb,bias,5.0,20,extra_trees,-0.43545576679835457,1.0665024166214712,10,SMALL,LARGE
composite,ucb,bias,5.0,40,extra_trees,-0.42577819013744406,-0.7795870255717471,10,SMALL,MEDIUM
composite,ucb,gaussian,0.05,10,extra_trees,-0.005720129594173365,-0.028348833761822553,10,negligible,negligible
composite,ucb,gaussian,0.05,20,extra_trees,-0.008291503859061775,0.0034147457786793834,10,negligible,negligible
composite,ucb,gaussian,0.05,40,extra_trees,-0.04209072523770737,-0.031144493648499486,10,negligible,negligible
composite,ucb,gaussian,0.5,10,extra_trees,-0.3748942461288067,-0.5537858242806967,10,SMALL,MEDIUM
composite,ucb,gaussian,0.5,20,extra_trees,-0.2648889572757274,-0.1850547865107237,10,SMALL,negligible
composite,ucb,gaussian,0.5,40,extra_trees,-0.17292578666848504,0.0817564158829208,10,negligible,negligible
composite,ucb,gaussian,1.0,10,extra_trees,-0.49669736727724917,-0.3301747602658821,10,SMALL,SMALL
composite,ucb,gaussian,1.0,20,extra_trees,-0.2937399616851646,-0.2855585020248995,10,SMALL,SMALL
composite,ucb,gaussian,1.0,40,extra_trees,-0.25004027841478277,-0.009205862647898563,10,SMALL,negligible
composite,ucb,gaussian,5.0,10,extra_trees,-0.5591410351188592,-2.0094866307055312,10,MEDIUM,LARGE
composite,ucb,gaussian,5.0,20,extra_trees,-0.6662720665173612,0.1987663890377604,10,MEDIUM,negligible
composite,ucb,gaussian,5.0,40,extra_trees,-0.5240907922823995,-0.44086001009332865,10,MEDIUM,SMALL
multi_objective,qehvi,bias,0.05,10,extra_trees,0.0013962705549705949,0.24044689856614038,10,negligible,SMALL
multi_objective,qehvi,bias,0.05,20,extra_trees,-0.0018738421653282725,0.20996594362506468,10,negligible,SMALL
multi_objective,qehvi,bias,0.05,40,extra_trees,0.002539813347404646,0.19014183485235375,10,negligible,negligible
multi_objective,qehvi,bias,0.5,10,extra_trees,-0.012449759574141506,0.7107848841598596,10,negligible,MEDIUM
multi_objective,qehvi,bias,0.5,20,extra_trees,-0.010586636795721877,0.6610416793155366,10,negligible,MEDIUM
multi_objective,qehvi,bias,0.5,40,extra_trees,0.0007245282006324865,0.5457274610000205,10,negligible,MEDIUM
multi_objective,qehvi,bias,1.0,10,extra_trees,-0.023742610879632815,0.976611463774252,10,negligible,LARGE
multi_objective,qehvi,bias,1.0,20,extra_trees,-0.011210297761605299,0.9323270247525134,10,negligible,LARGE
multi_objective,qehvi,bias,1.0,40,extra_trees,0.00035686742731807884,0.873935174033623,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,10,extra_trees,-0.08205881981874509,1.0411298783070975,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,20,extra_trees,-0.011528000881933963,1.2933689028808661,10,negligible,LARGE
multi_objective,qehvi,bias,5.0,40,extra_trees,0.0010531991219405804,1.0575466925419226,10,negligible,LARGE
multi_objective,qehvi,gaussian,0.05,10,extra_trees,-0.0018583897079204343,0.0569733503439107,10,negligible,negligible
multi_objective,qehvi,gaussian,0.05,20,extra_trees,0.0018894830856900793,0.05176280242072114,10,negligible,negligible
multi_objective,qehvi,gaussian,0.05,40,extra_trees,0.00033242435420279145,0.03206170441446617,10,negligible,negligible
multi_objective,qehvi,gaussian,0.5,10,extra_trees,-0.03140783544108677,0.5658618123098911,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,0.5,20,extra_trees,-0.01146724007900972,0.607068242368266,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,0.5,40,extra_trees,0.0004977086409310057,0.42572134209287205,10,negligible,SMALL
multi_objective,qehvi,gaussian,1.0,10,extra_trees,-0.019902074874212253,0.8805629140873138,10,negligible,LARGE
multi_objective,qehvi,gaussian,1.0,20,extra_trees,-0.009575701486016658,0.8840375149039634,10,negligible,LARGE
multi_objective,qehvi,gaussian,1.0,40,extra_trees,0.00034642582885448616,0.7372386412956949,10,negligible,MEDIUM
multi_objective,qehvi,gaussian,5.0,10,extra_trees,-0.08031517588986607,1.3914857800973233,10,negligible,LARGE
multi_objective,qehvi,gaussian,5.0,20,extra_trees,-0.011431884692776449,1.0641929883545043,10,negligible,LARGE
multi_objective,qehvi,gaussian,5.0,40,extra_trees,0.00374292398290589,1.0596803513876492,10,negligible,LARGE
multi_objective,qnehvi,bias,0.05,10,extra_trees,0.0,0.17550208056802752,10,negligible,negligible
multi_objective,qnehvi,bias,0.05,20,extra_trees,0.0,0.16986538246995736,10,negligible,negligible
multi_objective,qnehvi,bias,0.05,40,extra_trees,0.0,0.03844732079795639,10,negligible,negligible
multi_objective,qnehvi,bias,0.5,10,extra_trees,0.0,0.5364520961199843,10,negligible,MEDIUM
multi_objective,qnehvi,bias,0.5,20,extra_trees,0.0,0.4703474744388975,10,negligible,SMALL
multi_objective,qnehvi,bias,0.5,40,extra_trees,0.0,0.29116441887487904,10,negligible,SMALL
multi_objective,qnehvi,bias,1.0,10,extra_trees,0.0,0.8449039178053867,10,negligible,LARGE
multi_objective,qnehvi,bias,1.0,20,extra_trees,0.0,0.7922119011158655,10,negligible,MEDIUM
multi_objective,qnehvi,bias,1.0,40,extra_trees,0.0,0.5776145188135056,10,negligible,MEDIUM
multi_objective,qnehvi,bias,5.0,10,extra_trees,0.0,1.0997038141428377,10,negligible,LARGE
multi_objective,qnehvi,bias,5.0,20,extra_trees,0.0,1.1364980177842474,10,negligible,LARGE
multi_objective,qnehvi,bias,5.0,40,extra_trees,0.0,0.6952734822790161,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,0.05,10,extra_trees,0.0,0.013245369316926785,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.05,20,extra_trees,0.0,-0.006607844494660039,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.05,40,extra_trees,0.0,0.003404002343582675,10,negligible,negligible
multi_objective,qnehvi,gaussian,0.5,10,extra_trees,0.0,0.37992511357821723,10,negligible,SMALL
multi_objective,qnehvi,gaussian,0.5,20,extra_trees,0.0,0.38487889789083324,10,negligible,SMALL
multi_objective,qnehvi,gaussian,0.5,40,extra_trees,0.0,0.1888913956825171,10,negligible,negligible
multi_objective,qnehvi,gaussian,1.0,10,extra_trees,0.0,0.7574838495447412,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,1.0,20,extra_trees,0.0,0.7890178255693869,10,negligible,MEDIUM
multi_objective,qnehvi,gaussian,1.0,40,extra_trees,0.0,0.379466461323615,10,negligible,SMALL
multi_objective,qnehvi,gaussian,5.0,10,extra_trees,0.0,1.245874478516564,10,negligible,LARGE
multi_objective,qnehvi,gaussian,5.0,20,extra_trees,0.0,1.0742047863470559,10,negligible,LARGE
multi_objective,qnehvi,gaussian,5.0,40,extra_trees,0.0,0.9675410919428714,10,negligible,LARGE
